Domaine,Zone,Élément,Produit,Année,Unité,Valeur
"Indicateurs macro","Afghanistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","520.616409"
"Indicateurs macro","Afrique du Sud","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6121.876572"
"Indicateurs macro","Albanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4514.204908"
"Indicateurs macro","Algérie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4109.696001"
"Indicateurs macro","Allemagne","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","44651.829102"
"Indicateurs macro","Andorre","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","38962.613799"
"Indicateurs macro","Angola","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4095.811686"
"Indicateurs macro","Anguilla","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","19271.49997"
"Indicateurs macro","Antigua-et-Barbuda","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","15383.415188"
"Indicateurs macro","Arabie saoudite","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","20802.464299"
"Indicateurs macro","Argentine","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","14648.845969"
"Indicateurs macro","Arménie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3914.525246"
"Indicateurs macro","Aruba","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","29349.412216"
"Indicateurs macro","Australie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","57628.863849"
"Indicateurs macro","Autriche","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","47309.051637"
"Indicateurs macro","Azerbaïdjan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4150.868844"
"Indicateurs macro","Bahamas","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","32376.12978"
"Indicateurs macro","Bahreïn","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","23742.959101"
"Indicateurs macro","Bangladesh","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1538.233627"
"Indicateurs macro","Barbade","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","17419.313704"
"Indicateurs macro","Bélarus","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","5790.908054"
"Indicateurs macro","Belgique","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","44025.903247"
"Indicateurs macro","Belize","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4909.683057"
"Indicateurs macro","Bénin","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1136.59336"
"Indicateurs macro","Bermudes","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","113281.987026"
"Indicateurs macro","Bhoutan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3286.598606"
"Indicateurs macro","Bolivie (État plurinational de)","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3351.127399"
"Indicateurs macro","Bosnie-Herzégovine","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","5394.741461"
"Indicateurs macro","Botswana","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","7893.36292"
"Indicateurs macro","Brésil","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","9928.675992"
"Indicateurs macro","Brunéi Darussalam","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","28572.292244"
"Indicateurs macro","Bulgarie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","8335.277986"
"Indicateurs macro","Burkina Faso","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","734.996282"
"Indicateurs macro","Burundi","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","304.592321"
"Indicateurs macro","Cabo Verde","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3292.638357"
"Indicateurs macro","Cambodge","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1385.260419"
"Indicateurs macro","Cameroun","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1425.106072"
"Indicateurs macro","Canada","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","44906.74892"
"Indicateurs macro","Chili","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","14998.813979"
"Indicateurs macro","Chine","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","8889.173494"
"Indicateurs macro","Chine - RAS de Hong-Kong","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","46705.027813"
"Indicateurs macro","Chine - RAS de Macao","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","81043.968656"
"Indicateurs macro","Chine, continentale","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","8663.126784"
"Indicateurs macro","Chypre","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","26755.5929"
"Indicateurs macro","Colombie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6376.707362"
"Indicateurs macro","Comores","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1323.811705"
"Indicateurs macro","Congo","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2154.629048"
"Indicateurs macro","Costa Rica","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","12225.577172"
"Indicateurs macro","Côte d'Ivoire","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2111.026809"
"Indicateurs macro","Croatie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","13439.243178"
"Indicateurs macro","Cuba","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","8541.21444"
"Indicateurs macro","Curaçao","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","19238.808167"
"Indicateurs macro","Danemark","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","57938.797728"
"Indicateurs macro","Djibouti","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2930.696963"
"Indicateurs macro","Dominique","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","7286.797839"
"Indicateurs macro","Égypte","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2023.331158"
"Indicateurs macro","El Salvador","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3910.253179"
"Indicateurs macro","Émirats arabes unis","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","40644.804043"
"Indicateurs macro","Équateur","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6213.501276"
"Indicateurs macro","Érythrée","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","557.874751"
"Indicateurs macro","Espagne","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","28137.441564"
"Indicateurs macro","Estonie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","20406.691807"
"Indicateurs macro","Eswatini","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3913.145927"
"Indicateurs macro","États-Unis d'Amérique","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","59921.674703"
"Indicateurs macro","Éthiopie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","721.753494"
"Indicateurs macro","Fédération de Russie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","10817.003315"
"Indicateurs macro","Fidji","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6101.130428"
"Indicateurs macro","Finlande","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","46385.550876"
"Indicateurs macro","France","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","38720.645922"
"Indicateurs macro","Gabon","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","7230.472774"
"Indicateurs macro","Gambie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","679.778473"
"Indicateurs macro","Géorgie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4051.842804"
"Indicateurs macro","Ghana","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2074.175443"
"Indicateurs macro","Grèce","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","18907.740558"
"Indicateurs macro","Grenade","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","10152.832812"
"Indicateurs macro","Groenland","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","50488.013278"
"Indicateurs macro","Guatemala","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4236.114906"
"Indicateurs macro","Guinée","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","855.575057"
"Indicateurs macro","Guinée équatoriale","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","9667.899671"
"Indicateurs macro","Guinée-Bissau","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","738.550286"
"Indicateurs macro","Guyana","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6124.922066"
"Indicateurs macro","Haïti","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1387.438826"
"Indicateurs macro","Honduras","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2453.729573"
"Indicateurs macro","Hongrie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","14711.08422"
"Indicateurs macro","Îles Caïmanes","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","82835.266764"
"Indicateurs macro","Îles Cook","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","19741.188968"
"Indicateurs macro","Îles Marshall","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3669.806573"
"Indicateurs macro","Îles Salomon","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","2332.873855"
"Indicateurs macro","Îles Turques-et-Caïques","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","27545.870942"
"Indicateurs macro","Îles Vierges britanniques","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","44181.965717"
"Indicateurs macro","Inde","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1960.39034"
"Indicateurs macro","Indonésie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3837.578117"
"Indicateurs macro","Iran (République islamique d')","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","6243.780412"
"Indicateurs macro","Iraq","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4985.453728"
"Indicateurs macro","Irlande","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","70568.302444"
"Indicateurs macro","Islande","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","73949.769216"
"Indicateurs macro","Israël","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","43096.069697"
"Indicateurs macro","Italie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","32333.550863"
"Indicateurs macro","Jamaïque","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","5070.097885"
"Indicateurs macro","Japon","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","38672.40774"
"Indicateurs macro","Jordanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","4231.464852"
"Indicateurs macro","Kazakhstan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","9225.974208"
"Indicateurs macro","Kenya","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1634.068744"
"Indicateurs macro","Kirghizistan","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1244.470221"
"Indicateurs macro","Kiribati","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1648.572671"
"Indicateurs macro","Koweït","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","29754.636332"
"Indicateurs macro","Lesotho","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1101.803397"
"Indicateurs macro","Lettonie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","15623.931572"
"Indicateurs macro","Liban","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","7819.60467"
"Indicateurs macro","Libéria","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","587.594046"
"Indicateurs macro","Libye","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","10047.807807"
"Indicateurs macro","Liechtenstein","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","171278.066389"
"Indicateurs macro","Lituanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","16784.459812"
"Indicateurs macro","Luxembourg","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","111017.182246"
"Indicateurs macro","Macédoine du Nord","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","5430.875559"
"Indicateurs macro","Madagascar","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","515.293303"
"Indicateurs macro","Malaisie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","10259.210256"
"Indicateurs macro","Malawi","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","506.137215"
"Indicateurs macro","Maldives","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","9577.289371"
"Indicateurs macro","Mali","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","830.0214"
"Indicateurs macro","Malte","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","30850.17357"
"Indicateurs macro","Maroc","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","3082.599304"
"Indicateurs macro","Maurice","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","10485.851087"
"Indicateurs macro","Mauritanie","Valeur US $ par habitant","Produit Intérieur Brut","2017","US$","1587.863353"
